Tempo_�s,Ciclo_CPU,Referencia_Motor,Vel_Real
12712260.0,48.05,1400.0,1182.0
12742260.0,48.05,1400.0,1182.0
12772492.0,48.05,1400.0,1525.0
12802580.0,48.05,1400.0,1525.0
12832904.0,47.84,1400.0,1491.0
12862900.0,47.84,1400.0,1491.0
12893132.0,47.84,1400.0,1508.0
12923220.0,47.84,1400.0,1508.0
12953540.0,47.76,1400.0,1234.0
12983548.0,47.76,1400.0,1234.0
13013772.0,47.76,1400.0,1182.0
13043860.0,47.76,1400.0,1182.0
13074176.0,48.04,1400.0,1457.0
13104188.0,48.04,1400.0,1457.0
13134412.0,48.04,1400.0,1268.0
13164500.0,48.04,1400.0,1268.0
13194816.0,48.12,1400.0,1440.0
13224820.0,48.12,1400.0,1440.0
13255048.0,48.12,1400.0,1697.0
13285148.0,48.12,1400.0,1697.0
13315464.0,47.74,1400.0,1251.0
13345460.0,47.74,1400.0,1251.0
13375692.0,47.74,1400.0,1662.0
13405780.0,47.74,1400.0,1662.0
13436104.0,47.55,1400.0,1182.0
13466100.0,47.55,1400.0,1182.0
13496336.0,47.55,1400.0,1182.0
13526420.0,47.55,1400.0,1182.0
13556740.0,47.88,1400.0,1508.0
13586740.0,47.88,1400.0,1508.0
13616972.0,47.88,1400.0,1388.0
13647060.0,47.88,1400.0,1388.0
13677384.0,47.82,1400.0,1182.0
13707388.0,47.82,1400.0,1182.0
13737616.0,47.82,1400.0,1474.0
13767712.0,47.82,1400.0,1474.0
13798020.0,47.73,1400.0,1440.0
13828020.0,47.73,1400.0,1440.0
13858252.0,47.73,1400.0,1182.0
13888340.0,47.73,1400.0,1182.0
13918656.0,48.0,1400.0,1234.0
13948660.0,48.0,1400.0,1234.0
13978892.0,48.0,1400.0,1337.0
14008980.0,48.0,1400.0,1337.0
14039296.0,48.0,1400.0,1388.0
14069308.0,48.0,1400.0,1388.0
14099540.0,48.0,1400.0,1782.0
14129620.0,48.0,1400.0,1782.0
14159944.0,47.55,1400.0,1182.0
14189940.0,47.55,1400.0,1182.0
14220172.0,47.55,1400.0,1182.0
14250268.0,47.55,1400.0,1182.0
14280576.0,47.92,1400.0,1559.0
14310580.0,47.92,1400.0,1559.0
14340812.0,47.92,1400.0,1251.0
14370900.0,47.92,1400.0,1251.0
14401220.0,48.02,1400.0,1182.0
14431240.0,48.02,1400.0,1182.0
14461452.0,48.02,1400.0,1645.0
14491540.0,48.02,1400.0,1645.0
14521856.0,47.69,1400.0,1697.0
14551860.0,47.69,1400.0,1697.0
14582092.0,47.69,1400.0,1251.0
14612180.0,47.69,1400.0,1251.0
14642496.0,47.94,1400.0,1234.0
14672500.0,47.94,1400.0,1234.0
14702732.0,47.94,1400.0,1182.0
14732820.0,47.94,1400.0,1182.0
14763144.0,48.13,1400.0,1182.0
14793140.0,48.13,1400.0,1182.0
14823368.0,48.13,1400.0,1217.0
14853468.0,48.13,1400.0,1217.0
14883776.0,48.27,1400.0,1800.0
14913780.0,48.27,1400.0,1800.0
14944008.0,48.27,1400.0,1217.0
14974100.0,48.27,1400.0,1217.0
15004412.0,48.41,1400.0,1594.0
15034420.0,48.41,1400.0,1594.0
15064652.0,48.41,1400.0,1611.0
15094740.0,48.41,1400.0,1611.0
15125056.0,48.11,1400.0,1200.0
15155060.0,48.11,1400.0,1200.0
15185292.0,48.11,1400.0,1817.0
15215380.0,48.11,1400.0,1817.0
15245696.0,47.72,1400.0,1354.0
15275700.0,47.72,1400.0,1354.0
15305928.0,47.72,1400.0,1474.0
15336020.0,47.72,1400.0,1474.0
15366344.0,47.77,1400.0,1268.0
15396340.0,47.77,1400.0,1268.0
15426576.0,47.77,1400.0,1182.0
15456660.0,47.77,1400.0,1182.0
15486984.0,48.04,1400.0,1320.0
15516980.0,48.04,1400.0,1320.0
15547208.0,48.04,1400.0,1440.0
15577300.0,48.04,1400.0,1440.0
15607620.0,47.92,1400.0,1200.0
15637620.0,47.92,1400.0,1200.0
15667852.0,47.92,1400.0,1817.0
15697944.0,47.92,1400.0,1817.0
15728256.0,47.47,1400.0,1182.0
15758260.0,47.47,1400.0,1182.0
15788492.0,47.47,1400.0,1182.0
15818580.0,47.47,1400.0,1182.0
15848896.0,47.85,1400.0,1268.0
15878900.0,47.85,1400.0,1268.0
15909132.0,47.85,1400.0,1320.0
15939220.0,47.85,1400.0,1320.0
15969540.0,47.87,1400.0,1182.0
15999540.0,47.87,1400.0,1182.0
16029776.0,47.87,1400.0,1182.0
16059860.0,47.87,1400.0,1182.0
16090180.0,48.09,1400.0,1285.0
16120180.0,48.09,1400.0,1285.0
16150412.0,48.09,1400.0,1182.0
16180500.0,48.09,1400.0,1182.0
16210812.0,48.26,1400.0,1628.0
16240820.0,48.26,1400.0,1628.0
16271052.0,48.26,1400.0,1559.0
16301140.0,48.26,1400.0,1559.0
16331460.0,48.01,1400.0,1182.0
16361460.0,48.01,1400.0,1182.0
16391704.0,48.01,1400.0,1885.0
16421780.0,48.01,1400.0,1885.0
16452096.0,47.52,1400.0,1371.0
16482100.0,47.52,1400.0,1371.0
